imo,vessel_name,gross_tonnage,type,year_build,flag
9627916,CSAV TRANCURA,96628,Container Ship,2013,Liberia (LBR)
9627928,CSAV TYNDALL,96628,Container Ship,2014,Liberia (LBR)
9864552,CSBC KAOHSIUNG 1118,32600,Container Ship,2020,Liberia (LBR)
9864564,CSBC KAOHSIUNG 1119,32600,Container Ship,2020,Liberia (LBR)
9864576,CSBC KAOHSIUNG 1120,32600,Container Ship,2020,Liberia (LBR)
9286011,CSCL AFRICA,90645,Container Ship,2005,"Hong Kong, China (HKG)"
9695169,CSCL ARCTIC OCEAN,188638,Container Ship,2015,"Hong Kong, China (HKG)"
9285976,CSCL ASIA,90645,Container Ship,2004,"Hong Kong, China (HKG)"
9695145,CSCL ATLANTIC OCEAN,188638,Container Ship,2015,"Hong Kong, China (HKG)"
9645891,CSCL AUTUMN,116568,Container Ship,2014,"Hong Kong, China (HKG)"
9645889,CSCL BOHAI SEA,116603,Container Ship,2014,"Hong Kong, China (HKG)"
9290139,CSCL BRISBANE,39941,Container Ship,2005,"Hong Kong, China (HKG)"
9402627,CSCL CALLAO,26404,Container Ship,2009,"Hong Kong, China (HKG)"
9645918,CSCL EAST CHINA SEA,116568,Container Ship,2014,"Hong Kong, China (HKG)"
9695121,CSCL GLOBE,187541,Container Ship,2014,"Hong Kong, China (HKG)"
9400825,CSCL HOUSTON,27104,Container Ship,2008,Panama (PAN)
9695157,CSCL INDIAN OCEAN,188638,Container Ship,2015,"Hong Kong, China (HKG)"
9467263,CSCL JUPITER,150853,Container Ship,2011,"Hong Kong, China (HKG)"
9386005,CSCL LIMA,26404,Container Ship,2008,"Hong Kong, China (HKG)"
9314258,CSCL LONG BEACH,108069,Container Ship,2007,"Hong Kong, China (HKG)"
9402639,CSCL MANZANILLO,26404,Container Ship,2009,"Hong Kong, China (HKG)"
9467287,CSCL MARS,151993,Container Ship,2011,"Hong Kong, China (HKG)"
9467275,CSCL MERCURY,150853,Container Ship,2011,"Hong Kong, China (HKG)"
9385984,CSCL MONTEVIDEO,26404,Container Ship,2008,"Hong Kong, China (HKG)"
9383534,CSCL NAGOYA,9858,Container Ship,2008,"Hong Kong, China (HKG)"
9467316,CSCL NEPTUNE,151993,Container Ship,2012,"Hong Kong, China (HKG)"
9383522,CSCL OSAKA,9858,Container Ship,2008,"Hong Kong, China (HKG)"
9695133,CSCL PACIFIC OCEAN,188638,Container Ship,2014,"Hong Kong, China (HKG)"
9385972,CSCL PANAMA,26404,Container Ship,2008,"Hong Kong, China (HKG)"
9402615,CSCL SAN JOSE,26404,Container Ship,2008,"Hong Kong, China (HKG)"
9386017,CSCL SANTIAGO,26404,Container Ship,2008,"Hong Kong, China (HKG)"
9385996,CSCL SAO PAULO,26404,Container Ship,2008,"Hong Kong, China (HKG)"
9467299,CSCL SATURN,150853,Container Ship,2011,"Hong Kong, China (HKG)"
9645920,CSCL SOUTH CHINA SEA,116568,Container Ship,2014,"Hong Kong, China (HKG)"
9645853,CSCL SPRING,116603,Container Ship,2014,"Hong Kong, China (HKG)"
9466867,CSCL STAR,151993,Container Ship,2011,"Hong Kong, China (HKG)"
9645865,CSCL SUMMER,116603,Container Ship,2014,"Hong Kong, China (HKG)"
9290103,CSCL SYDNEY,39941,Container Ship,2005,"Hong Kong, China (HKG)"
9467304,CSCL URANUS,151993,Container Ship,2012,"Hong Kong, China (HKG)"
