imo,vessel_name,gross_tonnage,type,year_built,flag
9399002,MSC DANIELA,151559,Container Ship,2008,Panama (PAN)
9404649,MSC DANIT,153092,Container Ship,2009,Panama (PAN)
9399052,MSC EMANUELA,151559,Container Ship,2010,Panama (PAN)
9304411,MSC ESTHI,109109,Container Ship,2006,Panama (PAN)
9401130,MSC EVA,151559,Container Ship,2010,Panama (PAN)
9369758,MSC FIAMMETTA,66399,Container Ship,2008,Panama (PAN)
9401116,MSC FRANCESCA,131771,Container Ship,2008,Panama (PAN)
9401142,MSC GAIA,151559,Container Ship,2010,Panama (PAN)
9320427,MSC GENEVA,62702,Container Ship,2006,Portugal (MAR) (PMD)
9461386,MSC GENOVA,153115,Container Ship,2010,Germany (DEU)
9316347,MSC HANNAH,32427,Container Ship,2006,Panama (PAN)
9309473,MSC HEIDI,94489,Container Ship,2006,Panama (PAN)
9305714,MSC INES,107551,Container Ship,2006,Panama (PAN)
9399040,MSC IRENE,151559,Container Ship,2010,Panama (PAN)
9398371,MSC IVANA,131771,Container Ship,2008,Panama (PAN)
9304435,MSC JOANNA,107849,Container Ship,2006,Panama (PAN)
9299549,MSC JUDITH,89954,Container Ship,2006,Panama (PAN)
9399026,MSC KALINA,151559,Container Ship,2009,Panama (PAN)
9351581,MSC KIM,41225,Container Ship,2008,Panama (PAN)
9372470,MSC KRYSTAL,66399,Container Ship,2008,Panama (PAN)
9461403,MSC LA SPEZIA,153115,Container Ship,2010,Germany (DEU)
9320398,MSC LAUSANNE,62702,Container Ship,2005,Malta (MLT)
9320439,MSC LEIGH,50963,Container Ship,2006,Panama (PAN)
9347762,MSC LENA F,9981,Container Ship,2006,Portugal (MAR) (PMD)
9304459,MSC LISBON,107849,Container Ship,2007,Liberia (LBR)
9461427,MSC LIVORNO,153115,Container Ship,2010,Germany (DEU)
9320403,MSC LORENA,50963,Container Ship,2006,Panama (PAN)
9398383,MSC LUCIANA,131771,Container Ship,2009,Panama (PAN)
9289104,MSC LUCY,89954,Container Ship,2005,Panama (PAN)
9308625,MSC LUNA F,9981,Container Ship,2006,Portugal (MAR) (PMD)
9305702,MSC MADELEINE,107551,Container Ship,2006,Panama (PAN)
9289128,MSC MAEVA,89954,Container Ship,2005,Panama (PAN)
9304423,MSC MARIA ELENA,107849,Container Ship,2006,Panama (PAN)
9295385,MSC MARTA,65483,Container Ship,2005,Panama (PAN)
9404675,MSC MELATILDE,153092,Container Ship,2010,Panama (PAN)
9293179,MSC MIRELLA,58289,Container Ship,2005,Liberia (LBR)
9349796,MSC MONTEREY,50963,Container Ship,2007,Liberia (LBR)
9308584,MSC NINA F,9981,Container Ship,2005,Portugal (MAR) (PMD)
9398228,MSC NOA,75582,Container Ship,2009,Liberia (LBR)
9349825,MSC NURIA,50963,Container Ship,2008,Panama (PAN)
9372482,MSC ORIANE,66399,Container Ship,2008,Panama (PAN)
9441001,MSC PALOMA,153092,Container Ship,2010,Panama (PAN)
9290531,MSC PAMELA,107849,Container Ship,2005,Panama (PAN)
9301483,MSC PARIS,89941,Container Ship,2006,Liberia (LBR)
9339272,MSC PINA,107849,Container Ship,2007,Panama (PAN)
9290282,MSC RACHELE,90745,Container Ship,2005,Panama (PAN)
9309447,MSC RANIA,94489,Container Ship,2005,Panama (PAN)
9289116,MSC RITA,89954,Container Ship,2005,Panama (PAN)
9304447,MSC ROMA,107849,Container Ship,2006,Liberia (LBR)
9293167,MSC RONIT R,58289,Container Ship,2005,Liberia (LBR)
9461398,MSC ROSA M,153115,Container Ship,2010,Panama (PAN)
9320453,MSC ROSARIA,50963,Container Ship,2007,Panama (PAN)
9460356,MSC SAVONA,153115,Container Ship,2010,Liberia (LBR)
9309459,MSC SILVANA,94489,Container Ship,2006,Panama (PAN)
9336048,MSC SINDY,107849,Container Ship,2007,Panama (PAN)
9401104,MSC SOLA,131771,Container Ship,2008,Panama (PAN)
9404663,MSC SONIA,153092,Container Ship,2010,Panama (PAN)
9372494,MSC SORAYA,66399,Container Ship,2008,Panama (PAN)
9290543,MSC SUSANNA,107849,Container Ship,2005,Panama (PAN)
9308601,MSC TALIA F,9981,Container Ship,2005,Portugal (MAR) (PMD)
9351579,MSC TAMARA,41225,Container Ship,2008,Panama (PAN)
9285471,MSC TIANJIN,89097,Container Ship,2005,Liberia (LBR)
9309461,MSC TOMOKO,94489,Container Ship,2006,Panama (PAN)
9299525,MSC TORONTO,89954,Container Ship,2006,Germany (DEU)
9301471,MSC VALENCIA,89941,Container Ship,2006,Portugal (MAR) (PMD)
9299551,MSC VITTORIA,89954,Container Ship,2006,Panama (PAN)
9322889,MTT PENGERANG,10308,Container Ship,2006,Malaysia (MYS)
9365829,MUKADDES KALKAVAN,21162,Container Ship,2008,Marshall Islands (MHL)
9296470,MUSE,5403,Container Ship,2005,Bahamas (BHS)
9328053,MUSIC,7852,Container Ship,2007,Portugal (MAR) (PMD)
9462263,MUSTAFA KAN,7393,Container Ship,2009,Panama (PAN)
9344186,MYRIAD,5403,Container Ship,2006,Bahamas (BHS)
9343584,N P SURATTHANI 1,2839,Container Ship,2007,Thailand (THA)
9450428,NAGOYA EXPRESS,93750,Container Ship,2010,Germany (DEU)
9517628,NAGOYA TRADER,9524,Container Ship,2009,Korea (Republic of) (KOR)
9326706,NAJADE,27915,Container Ship,2007,Liberia (LBR)
9315836,NASIA,28927,Container Ship,2005,Marshall Islands (MHL)
9333072,NATAL,35573,Container Ship,2007,Liberia (LBR)
9400289,NAVARINO,91354,Container Ship,2010,"Hong Kong, China (HKG)"
9386718,NAVI BALTIC,17488,Container Ship,2009,Portugal (MAR) (PMD)
9334143,NAVIOS AMARANTH,39906,Container Ship,2007,Marshall Islands (MHL)
9324849,NAVIOS AMARILLO,39906,Container Ship,2007,Marshall Islands (MHL)
9324851,NAVIOS AZURE,39906,Container Ship,2007,Marshall Islands (MHL)
9352391,NAVIOS DEDICATION,39906,Container Ship,2008,Marshall Islands (MHL)
9352406,NAVIOS DELIGHT,39906,Container Ship,2008,Marshall Islands (MHL)
9352418,NAVIOS DESTINY,39906,Container Ship,2009,Marshall Islands (MHL)
9352420,NAVIOS DEVOTION,39906,Container Ship,2009,Marshall Islands (MHL)
9478494,NAVIOS DOMINO,39906,Container Ship,2008,Marshall Islands (MHL)
9431707,NAVIOS DORADO,40542,Container Ship,2010,Marshall Islands (MHL)
9395953,NAVIOS FELICITAS,40741,Container Ship,2010,Liberia (LBR)
9324875,NAVIOS INDIGO,39906,Container Ship,2007,Marshall Islands (MHL)
9345958,NAVIOS JASMINE,43071,Container Ship,2008,Panama (PAN)
9431680,NAVIOS LAPIS,40542,Container Ship,2009,Marshall Islands (MHL)
9332250,NAVIOS MAGNOLIA,43071,Container Ship,2008,Panama (PAN)
9445588,NAVIOS MIAMI,41358,Container Ship,2009,Liberia (LBR)
9345972,NAVIOS NERINE,43071,Container Ship,2008,Panama (PAN)
9308027,NAVIOS SPRING,36483,Container Ship,2007,Marshall Islands (MHL)
9308003,NAVIOS SUMMER,36483,Container Ship,2006,Marshall Islands (MHL)
9404209,NAVIOS TEMPO,40541,Container Ship,2010,Liberia (LBR)
9408853,NAVIOS UNISON,113412,Container Ship,2010,Liberia (LBR)
9302619,NAVIOS UNITE,90389,Container Ship,2006,Liberia (LBR)
9302621,NAVIOS UTMOST,90389,Container Ship,2006,Liberia (LBR)
9308015,NAVIOS VERANO,36483,Container Ship,2006,Marshall Islands (MHL)
9324863,NAVIOS VERDE,39906,Container Ship,2007,Marshall Islands (MHL)
9324837,NAVIOS VERMILION,39906,Container Ship,2007,Marshall Islands (MHL)
9365685,NAWATA BHUM,9917,Container Ship,2008,Singapore (SGP)
9326990,NCL AVEROY,9990,Container Ship,2006,Portugal (MAR) (PMD)
9326964,NCL SVELGEN,9990,Container Ship,2005,Portugal (MAR) (PMD)
9322504,NEWARK,35573,Container Ship,2006,Liberia (LBR)
9305635,NEYYAR,40952,Container Ship,2006,St Vincent and Grenadines (VCT)
9329629,NIKOS P,35975,Container Ship,2006,Marshall Islands (MHL)
9337456,NILEDUTCH LION,90507,Container Ship,2008,Liberia (LBR)
9436886,NIUGINI COAST,6245,Container Ship,2009,Papua New Guinea (PNG)
9323039,NORDAUTUMN,38332,Container Ship,2008,Portugal (MAR) (PMD)
9514755,NORDIC HAMBURG,10585,Container Ship,2010,Cyprus (CYP)
9321897,NORDSPRING,38332,Container Ship,2007,Cyprus (CYP)
9321902,NORDSUMMER,38332,Container Ship,2007,Portugal (MAR) (PMD)
9323041,NORDWINTER,38332,Container Ship,2008,Cyprus (CYP)
9322516,NORO,35573,Container Ship,2007,Liberia (LBR)
9326768,NORTH BRIDGE,41896,Container Ship,2006,Korea (Republic of) (KOR)
9353228,NORTHERN DEBONAIR,35975,Container Ship,2007,Liberia (LBR)
9346017,NORTHERN DECISION,36007,Container Ship,2008,Liberia (LBR)
9329631,NORTHERN DEDICATION,35975,Container Ship,2007,Liberia (LBR)
9329643,NORTHERN DEFENDER,35975,Container Ship,2007,Antigua and Barbuda (ATG)
9346005,NORTHERN DELEGATION,36007,Container Ship,2008,Antigua and Barbuda (ATG)
9391787,NORTHERN DEMOCRAT,36007,Container Ship,2009,Liberia (LBR)
9345984,NORTHERN DEPENDANT,36007,Container Ship,2008,Liberia (LBR)
